Name,Position,Age,ca,pa,Nationality,Club,Corners,Crossing,Dribbling,Finishing,First Touch,Free Kick Taking,Heading,Long Shots,Long Throws,Marking,Passing,Penalty Taking,Tackling,Technique,Aggression,Anticipation,Bravery,Composure,Concentration,Vision,Decision,Determination,Flair,Leadership,Off The Ball,Positioning,Teamwork,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength,Stability,Foul,Contest performance,Injury,diversity,Aerial Reach(GK),Command Of Area(GK),Communication(GK),Eccentricity(GK),Handling(GK),Kicking(GK),One On Ones(GK),Reflexes(GK),Rushing Out(GK),Punching(GK),Throwing(GK),Height,Weight,Left Foot,Right Foot,World reputation,Date of birth,Salary,pics,video,preferred_foot,both,left,right,AMC,AML,AMR,DC,DL,DM,DR,MC,ML,MR,ST,WBL,WBR,cluster
Rocco Reitz,MC,21,108,139,Germany,Borussia Mönchengladbach,12,11,11,9,13,12,6,11,3,11,13,8,12,14,13,11,12,12,10,13,11,12,12,6,12,11,12,12,12,11,12,7,13,12,13,8,11,9,11,7,10,1,3,2,3,4,3,3,1,1,2,3,176,72,11,20,3900,2002/5/29,7671.0,,,right,False,False,True,0,0,0,0,0,0,0,True,0,0,0,0,0,['MC_0']
Fernando Henrique,DM,22,108,135,Brazil,GRE,6,7,9,7,11,7,10,10,8,12,14,7,12,13,13,12,13,12,11,13,12,13,5,3,8,11,13,13,11,11,11,10,14,11,13,11,12,5,4,4,14,3,1,2,2,3,2,3,3,3,3,2,182,0,15,20,1804,2001/6/1,1514.0,,,right,False,False,True,0,0,0,0,0,True,0,0,0,0,0,0,0,['DM_0']
David Romero,ST,20,108,135,Argentina,Club Atlético Talleres de Córdoba,7,8,14,13,11,7,10,9,5,6,11,8,9,13,11,15,12,11,10,12,11,6,13,8,14,10,10,10,12,13,12,9,11,13,12,13,13,7,12,11,11,1,1,1,2,1,3,1,1,3,2,3,179,77,10,20,2100,2003/3/25,2286.0,,,right,False,False,True,0,0,0,0,0,0,0,0,0,0,True,0,0,['ST_0']
Noel López,ST,20,108,145,Spain,R. Madrid,9,11,12,13,15,9,11,10,4,9,15,8,7,12,12,15,6,10,10,11,9,7,9,13,13,9,9,14,11,14,15,11,10,12,14,6,20,6,7,11,10,2,2,3,3,2,3,2,2,3,2,1,181,0,11,20,3000,2003/3/17,2335.0,,,right,False,False,True,0,0,0,0,0,0,0,0,0,0,True,0,0,['ST_0']
Luke Cundle,MC,21,108,135,England,Wolverhampton Wanderers,12,12,11,11,14,9,6,12,3,9,13,5,8,13,8,12,10,13,10,12,12,16,11,7,12,13,13,11,13,13,14,8,10,11,13,8,9,7,14,10,11,2,2,4,1,1,1,1,3,3,3,3,170,62,8,20,3008,2002/4/26,11599.0,,,right,False,False,True,0,0,0,0,0,0,0,True,0,0,0,0,0,['MC_0']
Rafa Marín,DC,21,108,147,Spain,R. Madrid,6,3,5,5,9,9,14,7,13,12,8,7,13,9,12,12,14,14,12,5,11,4,4,15,6,12,12,13,11,9,12,16,14,9,15,15,14,9,9,7,7,3,3,2,2,1,3,3,2,3,2,2,190,78,4,20,3000,2002/5/19,2335.0,,,right,False,False,True,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_0']
Arthur Sousa,ST,20,108,135,Brazil,COR,5,7,11,12,11,7,12,10,8,4,6,6,4,11,7,11,7,12,12,8,12,15,8,8,12,7,10,11,12,12,14,11,9,13,11,13,16,7,7,11,11,1,3,1,3,4,3,1,2,1,3,1,184,72,14,20,2090,2003/3/12,1003.0,,,right,False,False,True,0,0,0,0,0,0,0,0,0,0,True,0,0,['ST_0']
Ivonei,AMC,21,108,135,Brazil,SAN,13,13,11,10,13,12,6,14,5,10,11,7,10,14,5,11,10,10,12,13,13,14,13,10,13,5,10,10,13,13,9,6,10,13,10,9,13,5,9,10,12,1,2,1,1,1,2,1,1,3,4,1,175,71,11,20,1470,2002/4/16,1234.0,,,right,False,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,['AMC_1']
Sava Čestić,DC,22,108,137,"Serbia,Germany",,5,5,9,6,10,7,14,7,12,13,10,7,14,10,10,12,12,10,12,8,10,13,8,6,5,14,13,12,9,11,14,16,13,11,12,14,9,10,12,14,8,4,3,2,2,2,3,1,2,2,3,3,192,87,8,20,3750,2001/2/19,0.0,,,right,False,False,True,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_0']
Pablo Minissale,DC,22,108,135,Argentina,Asociación Atlética Argentinos Juniors,6,5,8,5,10,3,13,5,7,13,10,6,12,9,14,12,11,9,8,5,15,9,6,7,11,13,9,13,11,14,10,12,12,13,8,8,11,8,18,6,17,3,1,1,2,4,1,2,2,3,3,1,182,79,9,20,1625,2001/1/14,270.0,,,right,False,False,True,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_0']
Igor Jesus,ST,22,108,135,Brazil,Shabab Al-Ahli Dubai Football Club,6,10,12,12,11,8,12,10,7,5,11,13,7,11,11,12,13,11,10,11,10,13,10,7,12,7,11,12,13,13,13,11,13,13,13,12,13,5,14,6,10,3,1,2,2,1,3,2,1,1,1,3,180,73,10,20,1250,2001/2/25,23544.0,,,right,False,False,True,0,0,0,0,0,0,0,0,0,0,True,0,0,['ST_0']
Amane Romeo,MC,20,108,135,Ivory Coast,BK Häcken,6,8,13,7,13,6,8,7,5,12,12,6,12,13,13,12,11,12,12,13,13,14,13,7,13,13,11,12,13,14,12,7,12,12,12,8,12,8,9,5,8,3,3,3,2,3,3,3,1,2,1,2,169,0,9,20,500,2003/7/1,559.0,,,right,False,False,True,0,0,0,0,0,0,0,True,0,0,0,0,0,['MC_0']
Mark Zabukovnik,DM,23,108,138,Slovenia,NK Celje,10,10,12,10,12,10,10,11,10,10,14,7,13,12,11,11,11,11,11,14,13,13,13,11,11,13,13,13,12,12,10,15,14,12,11,11,12,14,6,5,16,1,1,3,2,2,3,3,2,1,3,2,190,0,8,20,2500,2000/12/27,755.0,,,right,False,False,True,0,0,0,0,0,True,0,0,0,0,0,0,0,['DM_0']
Kwame Poku,AMR,22,107,135,"Ghana,England",Peterborough United,11,12,14,10,13,9,6,12,2,6,9,8,8,12,5,8,8,11,8,10,8,16,14,4,11,5,10,11,14,12,14,7,11,14,12,8,9,4,10,4,13,3,3,3,1,1,3,4,3,1,3,4,179,0,20,11,2000,2001/8/11,2900.0,,,left,False,True,False,0,0,True,0,0,0,0,0,0,0,0,0,0,['AMR_1']
Andrea Ghion,"DM,MC",23,107,139,Italy,U.S. Sassuolo,10,9,12,5,13,10,9,12,5,11,14,9,12,14,12,13,10,10,13,13,12,11,9,11,12,12,13,13,12,11,11,10,9,12,10,11,12,12,11,6,10,2,2,1,3,3,2,1,3,2,2,1,176,74,7,20,2700,2000/2/23,3948.0,,,right,False,False,True,0,0,0,0,0,True,0,True,0,0,0,0,0,"['DM_1', 'MC_2']"
Tom Lacoux,DM,21,107,138,France,FC Girondins de Bordeaux,5,6,11,8,10,7,10,9,6,13,11,8,13,13,13,15,15,12,13,9,10,14,6,12,10,15,14,15,11,13,12,11,12,11,14,8,12,8,13,6,12,2,1,1,1,1,1,3,4,1,2,2,182,77,7,20,2498,2002/1/25,3121.0,,,right,False,False,True,0,0,0,0,0,True,0,0,0,0,0,0,0,['DM_0']
Myron van Brederode,AML,20,107,145,Holland,AZ Alkmaar,10,8,14,13,13,13,5,12,3,4,8,14,5,13,9,11,10,12,8,9,8,13,13,3,13,3,9,10,14,13,15,7,13,14,11,9,12,7,13,5,8,1,3,1,2,3,1,1,1,1,3,3,174,0,8,20,3302,2003/7/6,1373.0,,,right,False,False,True,0,True,0,0,0,0,0,0,0,0,0,0,0,['AML_0']
Ilyes Hamache,AML,20,107,135,"France,Algeria",Valenciennes FC,7,9,13,11,16,10,7,13,10,10,12,6,10,16,11,13,10,8,12,12,12,2,13,7,11,10,11,12,13,13,11,5,15,13,8,6,12,9,11,13,12,2,2,2,3,2,3,4,3,3,2,3,169,0,20,11,1994,2003/2/11,2699.0,,,left,False,True,False,0,True,0,0,0,0,0,0,0,0,0,0,0,['AML_1']
Fedde de Jong,AMC,20,107,135,Holland,AZ Alkmaar,4,5,8,9,11,10,8,12,4,7,12,6,7,12,9,12,10,13,12,12,13,14,9,13,13,10,14,14,12,12,12,11,12,13,12,10,13,5,10,4,5,3,3,2,1,3,2,2,1,2,2,1,185,72,10,20,3004,2003/6/13,2000.0,,,right,False,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,['AMC_1']
Kang Hyun-Muk,AMC,22,107,135,South Korea,Suwon Samsung Bluewings,7,3,14,8,12,9,10,9,6,10,10,8,10,12,11,13,11,11,13,11,11,10,9,11,13,9,12,17,12,11,13,9,13,11,12,12,8,12,19,12,13,1,2,3,2,4,3,4,2,1,3,1,173,67,12,20,750,2001/3/28,705.0,,,right,False,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,['AMC_1']
Formose Mendy,DC,22,107,143,Senegal,Amiens SC,8,9,11,8,12,5,13,6,10,11,11,5,12,12,10,8,14,12,11,10,8,5,9,8,7,11,10,12,14,13,12,15,10,14,13,12,12,12,10,12,8,4,1,2,4,3,1,2,3,1,2,2,191,76,8,20,2270,2001/1/2,2846.0,,,right,False,False,True,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_0']
Giovane,ST,20,107,145,Brazil,COR,9,10,13,12,15,9,11,10,9,5,11,9,5,12,11,12,7,9,10,12,11,13,11,10,13,9,13,11,14,13,11,10,12,13,11,12,9,8,14,8,11,1,3,2,2,1,3,2,3,2,1,3,180,0,20,8,1724,2003/11/24,1427.0,,,left,False,True,False,0,0,0,0,0,0,0,0,0,0,True,0,0,['ST_1']
Alexander Sosa,ST,21,107,136,Argentina,Club Atlético Patronato de la Juventud Católica,9,6,12,13,15,9,12,9,5,5,10,8,7,13,9,11,10,9,5,9,10,11,13,14,13,10,9,11,13,13,13,11,8,13,15,8,20,15,9,9,10,2,3,3,3,2,4,3,1,1,3,1,189,0,20,8,2322,2002/5/20,226.0,,,left,False,True,False,0,0,0,0,0,0,0,0,0,0,True,0,0,['ST_1']
Luka Gagnidze,MC,20,107,135,Georgia,Dinamo Moscow,12,10,12,10,13,12,6,11,3,6,13,6,10,14,15,13,7,8,12,13,10,3,16,12,11,12,10,13,13,13,10,8,12,11,11,7,14,13,10,8,13,1,2,2,1,2,3,2,1,2,1,3,175,68,12,20,2660,2003/2/28,2400.0,,,right,False,False,True,0,0,0,0,0,0,0,True,0,0,0,0,0,['MC_0']
Luke Fleurs,DC,23,107,140,South Africa,SuperSport United Football Club,5,5,8,5,8,5,12,5,7,10,10,3,11,9,9,13,13,7,10,4,15,14,5,2,9,11,9,10,14,11,10,10,11,13,11,11,16,9,3,7,14,1,3,1,3,1,2,2,2,2,3,3,185,80,12,20,2978,2000/3/3,3602.0,,,right,False,False,True,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_0']
Julián Romero,ST,20,107,145,Argentina,Club Atlético Independiente,10,10,12,10,16,10,9,11,10,9,11,8,8,12,15,14,16,8,11,11,14,15,14,3,12,11,10,11,9,11,16,9,12,11,12,14,10,10,7,12,10,3,1,3,1,2,2,1,3,1,2,1,173,72,10,20,2850,2003/9/28,3081.0,,,right,False,False,True,0,0,0,0,0,0,0,0,0,0,True,0,0,['ST_0']
Adam Karabec,AMC,20,107,145,Czech Republic,Sparta Prague,9,6,12,10,14,10,8,7,7,6,11,12,7,13,5,11,6,11,11,9,10,13,16,7,11,7,8,11,15,12,13,11,13,14,13,11,10,5,13,8,10,4,2,3,3,1,1,3,2,2,3,2,181,0,20,11,3999,2003/7/2,654.0,,,left,False,True,False,True,0,0,0,0,0,0,0,0,0,0,0,0,['AMC_0']
Quinn Sullivan,"AMC,AMR",19,107,145,"United States,Germany,Bangladesh",Philadelphia Union,11,11,12,10,12,11,9,13,9,11,12,7,10,11,8,13,9,11,10,12,13,8,14,4,12,11,13,14,13,12,11,9,16,12,16,9,10,4,8,9,11,1,2,3,1,3,1,2,1,1,3,3,181,72,8,20,3217,2004/3/27,2005.0,,,right,False,False,True,True,0,True,0,0,0,0,0,0,0,0,0,0,"['AMC_1', 'AMR_0']"
Ben Bobzien,AML,20,107,135,Germany,1. FSV Mainz 05,11,11,14,12,12,11,6,10,2,4,12,11,5,14,8,11,8,10,8,12,9,13,15,3,12,5,10,10,14,13,10,7,13,14,11,7,12,2,2,4,13,3,4,3,2,1,2,1,1,2,1,1,180,0,12,20,3839,2003/4/29,6711.0,,,right,False,False,True,0,True,0,0,0,0,0,0,0,0,0,0,0,['AML_0']
Isaac Tshibangu,AML,20,107,135,Democratic Republic of Congo,Bandırmaspor,6,8,11,11,11,9,11,8,9,8,10,6,4,12,12,11,11,10,9,10,9,14,13,5,12,11,10,12,14,13,12,12,14,15,10,12,14,7,4,9,10,1,1,1,3,3,2,2,2,1,1,3,180,0,8,20,3600,2003/5/17,4999.0,,,right,False,False,True,0,True,0,0,0,0,0,0,0,0,0,0,0,['AML_0']
Miguel Silveira,AMC,20,107,145,"Brazil,Portugal",BRA,9,11,14,12,13,9,7,11,6,6,12,10,7,14,13,8,10,10,9,13,12,9,13,3,13,7,11,11,13,14,10,6,12,12,11,8,11,5,11,5,12,1,2,2,1,3,2,1,4,2,1,3,172,65,10,20,2226,2003/3/26,1311.0,,,right,False,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,['AMC_1']
Alex Lowry,AMC,20,107,145,Scotland,Rangers,11,9,13,15,12,15,7,13,4,7,12,5,8,14,4,9,5,13,11,14,6,10,12,3,12,6,7,6,16,15,13,13,17,16,15,5,11,5,4,8,7,2,3,2,1,2,1,4,1,3,2,2,187,0,8,20,3300,2003/6/23,6960.0,,,right,False,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,['AMC_1']
Laurenz Dehl,AMC,22,107,139,Germany,1. FC Union Berlin,8,8,13,13,14,7,9,10,5,5,11,11,7,13,11,12,10,11,10,11,11,10,10,6,13,7,8,12,13,13,10,10,11,12,12,10,10,8,11,8,8,3,1,2,3,2,3,3,3,2,3,2,181,70,12,20,2500,2001/12/12,2500.0,,,right,False,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,['AMC_1']
Vyacheslav Litvinov,DC,22,107,141,Russia,FC Krasnodar,5,3,2,5,4,3,14,5,5,14,8,4,14,8,7,13,10,9,11,7,14,15,5,12,8,12,8,9,13,14,9,14,15,14,6,10,15,8,11,11,16,3,3,2,3,1,1,3,4,1,3,1,190,75,8,20,2734,2001/4/1,10337.0,,,right,False,False,True,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_0']
Sean McGurk,AMC,20,107,135,England,Leeds United,6,10,13,11,12,7,5,9,2,5,12,8,4,14,12,12,10,11,7,12,10,12,15,3,11,5,12,13,15,11,11,6,11,13,13,7,9,6,12,12,12,3,1,1,4,3,2,3,3,2,3,1,179,0,13,20,2994,2003/3/15,2320.0,,,right,False,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,['AMC_1']
Suphanat Mueanta,ST,21,107,143,Thailand,Buriram United,3,8,13,14,13,5,8,7,4,5,10,12,7,13,9,13,11,13,13,12,13,15,14,3,14,5,12,11,12,13,7,8,13,12,12,10,13,6,13,9,10,2,3,2,1,1,2,2,1,1,2,2,175,63,13,20,2474,2002/8/2,951.0,,,right,False,False,True,0,0,0,0,0,0,0,0,0,0,True,0,0,['ST_0']
Garcia,DR,21,107,135,Brazil,SEP,11,13,12,7,12,11,8,11,8,10,12,1,14,14,9,10,10,9,10,12,14,9,10,10,12,9,13,13,10,13,9,8,16,10,12,7,14,13,6,12,17,2,4,3,1,3,2,2,1,1,3,3,177,68,10,20,2728,2002/1/4,1452.0,,,right,False,False,True,0,0,0,0,0,0,True,0,0,0,0,0,0,['DR_0']
Franco Tongya,AMC,21,107,135,"Italy,Cameroon",Odense Boldklub,7,10,13,10,12,8,8,9,6,6,11,9,7,13,12,10,8,10,11,11,10,16,14,7,12,7,10,13,13,13,14,9,16,13,12,11,13,7,14,5,18,2,3,1,2,3,1,1,1,3,2,1,175,71,13,20,2000,2002/3/13,2119.0,,,right,False,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,['AMC_1']
Kostiantyn Vivcharenko,DL,21,107,135,Ukraine,Dynamo Kyiv,8,11,10,6,10,9,12,7,8,12,11,5,12,11,12,11,14,9,9,10,9,14,9,12,10,12,12,15,13,13,13,11,6,13,14,13,9,7,12,6,14,1,1,1,1,2,2,2,3,1,3,1,178,76,20,10,1491,2002/6/10,1429.0,,,left,False,True,False,0,0,0,0,True,0,0,0,0,0,0,0,0,['DL_0']
Isaak Touré,DC,20,107,135,France,Olympique de Marseille,1,6,9,7,10,5,14,7,7,12,12,7,12,11,13,12,10,11,10,10,13,12,5,5,7,11,11,11,10,7,14,17,14,12,9,17,11,8,13,16,10,3,2,2,2,3,1,1,1,2,1,1,204,99,20,8,2747,2003/3/28,3121.0,,,left,False,True,False,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_1']
Aidan Morris,DM,22,107,136,United States,Columbus Crew,5,8,11,7,12,7,6,8,9,12,12,8,13,13,13,10,13,9,11,11,12,14,8,11,11,11,12,14,12,10,13,12,13,12,15,14,9,7,11,7,11,3,2,1,2,3,2,2,2,3,2,3,178,71,11,20,2506,2001/11/16,3335.0,,,right,False,False,True,0,0,0,0,0,True,0,0,0,0,0,0,0,['DM_0']
Werik Popó,ST,22,107,135,Brazil,BRA,10,8,10,12,11,10,13,10,5,7,10,8,7,11,10,12,11,12,9,8,12,12,11,11,12,5,11,10,11,10,13,14,12,11,12,16,11,10,16,8,11,1,2,2,3,2,3,2,1,3,4,2,190,87,12,20,1250,2001/10/17,1311.0,,,right,False,False,True,0,0,0,0,0,0,0,0,0,0,True,0,0,['ST_0']
David Kalokoh,AML,18,107,165,"Holland,Sierra Leone",AFC Ajax,9,8,13,10,14,9,6,9,6,5,11,7,4,13,8,9,12,10,8,11,9,13,14,6,9,4,9,11,12,13,10,8,11,13,10,9,7,8,11,11,10,2,2,2,1,1,2,2,2,3,1,2,186,0,12,20,3018,2005/4/23,3999.0,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.youtube.com/watch?v=rbS0LTDZTNg,right,False,False,True,0,True,0,0,0,0,0,0,0,0,0,0,0,['AML_0']
Enis Fazlagic,MC,23,107,138,North Macedonia,Wisła Kraków,10,10,11,7,9,10,10,11,4,16,14,6,12,9,12,15,10,12,9,14,10,17,5,11,10,11,11,13,13,10,11,14,13,11,9,13,12,12,13,5,14,2,3,4,2,3,3,3,2,2,3,1,186,76,11,20,2498,2000/3/27,2500.0,,,right,False,False,True,0,0,0,0,0,0,0,True,0,0,0,0,0,['MC_0']
Bohdan Viunnyk,ST,21,107,135,Ukraine,Shakhtar Donetsk,5,11,8,12,11,6,12,9,3,6,10,12,8,13,9,11,11,12,10,11,12,11,7,7,12,10,10,12,12,12,13,12,11,12,12,14,10,4,9,9,8,2,2,1,3,1,2,1,1,2,2,2,178,0,12,20,3475,2002/5/21,3127.0,,,right,False,False,True,0,0,0,0,0,0,0,0,0,0,True,0,0,['ST_0']
Alan Matturro,DC,19,107,135,Uruguay,Defensor Sporting Club,4,1,11,5,11,1,14,13,5,14,13,6,14,12,6,10,13,5,10,12,12,14,5,13,6,14,8,9,11,11,9,14,10,12,9,7,11,8,16,12,14,4,3,3,3,2,1,1,2,3,2,2,189,74,20,11,2261,2004/10/11,205.0,,,left,False,True,False,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_1']
Kristers Tobers,DM,23,107,135,Latvia,Lechia Gdańsk,8,7,7,8,9,8,13,10,9,12,11,9,13,8,8,13,13,13,13,9,13,14,7,7,6,13,14,13,10,9,11,13,12,9,11,14,11,14,12,9,12,1,2,4,3,1,1,3,3,3,3,4,189,75,11,20,1115,2000/12/13,1268.0,,,right,False,False,True,0,0,0,0,0,True,0,0,0,0,0,0,0,['DM_0']
Darío Sarmiento,AML,20,107,155,Argentina,Manchester City,10,11,11,10,12,10,10,9,10,8,12,8,9,13,10,14,8,11,7,14,8,4,13,10,16,9,11,11,13,13,8,7,7,14,11,6,8,6,16,13,11,3,1,1,2,1,1,3,2,1,3,3,167,64,20,10,3066,2003/3/29,17399.0,https://img.a.transfermarkt.technology/portrait/header/668552-1635143480.jpg?lm=1,https://www.youtube.com/watch?v=gV8eQgk3_oY,left,False,True,False,0,True,0,0,0,0,0,0,0,0,0,0,0,['AML_1']
Ole Martin Kolskogen,DC,22,107,135,Norway,SK Brann,2,8,8,7,9,4,12,5,8,13,12,4,13,9,14,12,12,9,8,10,12,16,9,8,9,14,12,12,14,11,12,13,13,14,13,12,13,13,9,4,5,2,3,2,2,3,2,1,1,3,1,1,187,73,6,20,3094,2001/1/20,1064.0,,,right,False,False,True,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_0']
Rwan,ST,22,107,135,Brazil,SAN,5,8,12,14,10,5,14,10,9,8,11,11,6,13,11,14,11,13,13,11,10,8,12,1,12,7,13,13,14,14,10,13,9,13,11,7,12,10,20,5,14,1,3,3,3,2,2,3,2,3,3,1,187,73,5,20,1696,2001/5/20,1349.0,,,right,False,False,True,0,0,0,0,0,0,0,0,0,0,True,0,0,['ST_0']
Daniel Samek,DM,19,107,145,Czech Republic,Salento,6,5,12,10,10,9,10,13,8,12,13,4,15,11,7,12,8,10,8,10,13,12,13,11,7,14,10,14,13,11,8,11,13,10,10,13,12,5,9,12,9,2,4,3,1,1,2,3,1,2,2,2,184,80,9,20,3000,2004/2/19,3671.0,,,right,False,False,True,0,0,0,0,0,True,0,0,0,0,0,0,0,['DM_0']
Óscar Aranda,AML,21,107,152,Spain,R. Madrid,10,10,14,12,13,10,8,14,9,4,12,7,6,12,9,10,8,11,9,13,10,9,15,8,9,5,12,11,13,13,12,10,9,13,11,10,8,10,11,5,12,2,2,3,1,3,3,2,1,2,3,3,182,77,10,20,2850,2002/4/29,2205.0,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.youtube.com/watch?v=pX0fYGJtjSM,right,False,False,True,0,True,0,0,0,0,0,0,0,0,0,0,0,['AML_0']
Lazar Mijović,AML,20,107,135,Montenegro,Lommel SK,9,11,11,12,12,10,11,13,8,6,11,8,6,12,10,11,10,13,8,11,11,9,14,13,11,8,11,12,12,11,11,12,12,12,11,13,8,12,12,14,14,2,1,1,4,3,1,1,3,3,2,1,183,74,20,8,2500,2003/3/12,3000.0,,,left,False,True,False,0,True,0,0,0,0,0,0,0,0,0,0,0,['AML_1']
Rami Al Hajj,MC,22,107,135,"Sweden,Lebanon",sc Heerenveen,10,12,12,12,11,10,11,13,8,5,13,5,5,15,12,13,8,9,10,10,11,12,14,10,15,7,9,11,13,14,12,12,13,13,13,10,10,7,9,5,15,2,2,1,3,2,1,2,3,4,1,2,180,75,8,20,3914,2001/9/17,3000.0,,,right,False,False,True,0,0,0,0,0,0,0,True,0,0,0,0,0,['MC_0']
Dušan Stojinović,DC,23,107,137,Slovenia,NK Celje,8,8,8,7,10,9,12,6,10,12,11,5,12,10,12,11,11,12,12,10,12,1,5,14,10,13,10,10,11,13,11,12,13,11,12,13,13,11,3,13,17,1,3,1,2,2,2,1,2,2,3,1,187,78,10,20,2750,2000/8/26,931.0,,,right,False,False,True,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_0']
Josh Wilson-Esbrand,DL,21,107,135,England,Manchester City,6,13,13,9,12,2,6,6,8,11,12,8,13,13,15,12,9,12,12,10,12,13,13,11,10,10,10,13,15,12,12,9,15,15,8,15,11,7,14,6,13,3,2,3,2,1,3,3,1,4,1,2,176,0,20,9,3994,2002/12/26,8119.0,,,left,False,True,False,0,0,0,0,True,0,0,0,0,0,0,0,0,['DL_0']
Jordan James,MC,19,107,135,"Wales,England",Birmingham City,7,10,10,9,11,8,11,10,7,9,14,5,8,13,12,11,13,11,12,13,14,12,9,8,11,11,13,14,11,10,12,10,11,12,12,10,12,8,10,5,11,3,4,1,3,3,1,2,2,3,1,1,178,63,12,20,2504,2004/7/2,2030.0,,,right,False,False,True,0,0,0,0,0,0,0,True,0,0,0,0,0,['MC_0']
Isak Määttä,DL,22,107,135,"Norway,Sweden",FC Groningen,8,11,12,9,11,7,9,10,8,11,12,7,11,11,10,12,10,12,13,10,11,12,11,7,12,11,13,13,12,10,11,12,13,12,12,10,13,9,10,8,14,2,2,3,2,2,3,3,3,1,3,1,188,0,20,11,3000,2001/9/19,2000.0,,,left,False,True,False,0,0,0,0,True,0,0,0,0,0,0,0,0,['DL_0']
Cher Ndour,"MC,AMC",19,107,145,"Italy,Senegal",SL Benfica,11,11,12,10,13,10,11,10,5,10,13,8,11,13,10,11,8,14,12,13,12,12,15,6,8,12,12,9,12,11,12,13,13,12,13,13,13,8,10,4,12,3,3,3,1,1,2,1,3,1,1,1,190,84,8,20,3863,2004/7/27,3749.0,,,right,False,False,True,True,0,0,0,0,0,0,True,0,0,0,0,0,"['AMC_1', 'MC_2']"
Camilo Mena,AMR,21,107,135,Colombia,Valmiera FC,9,12,14,12,10,7,10,9,8,7,10,11,8,13,10,10,12,10,10,10,10,9,9,6,13,7,12,12,13,12,11,9,12,14,11,10,9,5,10,5,10,2,1,1,2,3,1,1,1,2,2,2,175,63,10,20,1323,2002/10/1,630.0,,,right,False,False,True,0,0,True,0,0,0,0,0,0,0,0,0,0,['AMR_0']
Kryštof Daněk,AMC,20,107,135,Czech Republic,Sparta Prague,9,9,11,11,15,9,9,12,9,8,12,2,11,15,7,9,10,7,10,12,9,7,14,11,8,10,10,13,15,12,13,12,14,14,8,12,10,8,12,14,10,2,3,3,2,3,2,1,3,3,1,1,182,71,20,9,3499,2003/1/5,2842.0,,,left,False,True,False,True,0,0,0,0,0,0,0,0,0,0,0,0,['AMC_0']
Matheus Cadorini,ST,21,107,135,"Brazil,Italy",INT,7,8,10,12,12,9,13,9,8,7,10,13,7,11,12,13,13,12,11,9,12,14,10,7,13,8,12,12,12,11,11,13,13,11,11,13,13,11,4,4,13,2,3,2,1,1,2,3,2,2,1,3,192,82,10,20,2182,2002/9/1,2683.0,,,right,False,False,True,0,0,0,0,0,0,0,0,0,0,True,0,0,['ST_0']
Mark Mampassi,DC,20,107,135,"Russia,Democratic Republic of Congo,Ukraine",Lokomotiv Moscow,7,6,9,7,11,6,10,8,10,12,10,6,12,11,11,10,12,10,10,11,10,13,9,8,10,12,10,14,13,14,13,12,14,12,14,14,7,12,9,9,7,1,3,1,3,3,3,1,3,2,1,2,185,86,12,20,2088,2003/3/12,10337.0,,,right,False,False,True,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_0']
Nemanja Motika,AML,20,107,135,"Serbia,Germany",FK Crvena zvezda Beograd,6,10,14,12,11,6,4,12,3,3,12,10,4,14,6,11,8,11,9,13,10,13,14,3,13,4,11,11,14,13,11,8,14,13,11,11,14,3,14,6,13,4,1,4,1,1,2,3,1,2,1,1,179,71,16,20,3500,2003/3/20,5849.0,,,right,False,False,True,0,True,0,0,0,0,0,0,0,0,0,0,0,['AML_0']
Nathan Harriel,DR,22,107,141,United States,Philadelphia Union,7,12,11,9,11,3,10,5,14,11,9,5,12,9,12,13,12,10,12,10,12,17,10,7,10,11,9,11,13,10,10,10,10,13,13,12,13,9,10,7,17,3,1,1,3,3,3,3,1,1,2,1,178,73,9,20,3206,2001/4/23,2083.0,,,right,False,False,True,0,0,0,0,0,0,True,0,0,0,0,0,0,['DR_0']
