Name,Position,Age,ca,pa,Nationality,Club,Corners,Crossing,Dribbling,Finishing,First Touch,Free Kick Taking,Heading,Long Shots,Long Throws,Marking,Passing,Penalty Taking,Tackling,Technique,Aggression,Anticipation,Bravery,Composure,Concentration,Vision,Decision,Determination,Flair,Leadership,Off The Ball,Positioning,Teamwork,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength,Stability,Foul,Contest performance,Injury,diversity,Aerial Reach(GK),Command Of Area(GK),Communication(GK),Eccentricity(GK),Handling(GK),Kicking(GK),One On Ones(GK),Reflexes(GK),Rushing Out(GK),Punching(GK),Throwing(GK),Height,Weight,Left Foot,Right Foot,World reputation,Date of birth,Salary,pics,video,preferred_foot,both,left,right,GK,cluster
Jamie Cumming,GK,24,114,135,England,Chelsea,5,1,1,1,10,10,1,2,1,1,10,1,3,9,6,13,12,12,10,10,11,4,3,6,3,12,10,11,9,11,10,12,14,10,14,10,11,5,11,3,14,13,11,10,3,13,15,14,16,10,5,12,188,74,10,20,2244,1999/9/4,11599.0,,,right,False,False,True,True,['GK_0']
Samuel Brolin,GK,23,114,140,Sweden,AIK,5,3,4,2,6,7,4,2,1,1,7,2,3,5,5,12,12,11,12,7,12,14,1,5,3,13,12,11,9,11,13,19,12,9,9,13,14,5,16,5,11,17,13,12,7,13,12,13,14,10,7,11,202,95,6,20,1750,2000/9/29,931.0,,,right,False,False,True,True,['GK_0']
Leopold Wahlstedt,GK,24,114,136,"Sweden,Italy",Odds BK,4,1,1,3,9,7,9,2,2,3,11,3,1,9,12,13,11,10,8,8,12,15,14,10,3,14,12,12,12,15,12,16,11,8,8,13,15,13,12,11,14,13,13,11,15,11,11,15,14,16,12,11,190,80,7,20,2681,1999/7/4,907.0,,,right,False,False,True,True,['GK_0']
Nathan Baxter,GK,25,114,140,England,Chelsea,4,3,1,2,6,7,1,1,2,2,11,4,2,6,11,11,12,10,9,10,10,14,3,8,2,13,8,14,9,13,13,13,14,9,9,11,12,7,14,10,13,13,11,13,6,14,13,15,16,8,5,13,191,76,6,20,2750,1998/11/8,11599.0,,,right,False,False,True,True,['GK_0']
Ramón Juan,GK,24,114,136,Spain,Mirandés,6,1,2,3,8,7,2,3,2,2,11,2,2,5,10,15,10,11,10,10,7,18,1,5,3,12,11,10,11,16,11,10,10,9,6,6,20,5,12,14,15,10,13,12,6,14,15,12,15,6,12,11,179,79,8,20,3300,1999/12/10,1533.0,,,right,False,False,True,True,['GK_0']
Pontus Dahlberg,GK,24,114,145,Sweden,IFK Göteborg,4,3,2,1,6,6,3,3,3,3,8,1,2,6,13,12,15,11,11,11,8,15,3,10,1,12,13,11,8,14,12,13,13,7,12,13,12,9,11,7,12,15,13,13,10,13,11,14,15,14,12,12,194,84,6,20,3750,1999/1/21,2329.0,,,right,False,False,True,True,['GK_0']
Lucão,GK,22,114,136,Brazil,BRA,4,2,3,3,7,6,1,2,3,2,13,3,1,6,10,8,15,10,10,9,14,6,1,10,2,12,9,9,10,7,6,16,15,13,7,7,12,13,13,13,15,14,10,9,5,14,14,10,14,10,9,13,190,0,11,20,1750,2001/2/26,1341.0,,,right,False,False,True,True,['GK_0']
Gaizka Ayesa,GK,22,114,145,"Spain,Pays Basque",Real San Sebastián,3,2,1,3,5,6,1,2,3,3,10,1,2,5,12,9,12,10,11,9,14,19,3,7,3,14,10,7,11,14,10,7,12,12,2,8,13,7,10,6,14,11,14,12,7,14,14,11,14,6,10,12,182,78,12,20,2500,2001/4/2,3339.0,,,right,False,False,True,True,['GK_0']
Patrik Sigurður Gunnarsson,GK,23,114,135,Iceland,Viking FK,3,2,3,3,8,2,6,2,1,1,10,3,1,9,11,11,14,14,12,9,11,15,4,6,5,11,10,12,9,14,12,16,12,9,12,11,13,3,12,5,2,14,12,14,4,14,11,12,12,11,12,13,190,84,6,20,3936,2000/11/15,2089.0,,,right,False,False,True,True,['GK_0']
Mads Christiansen,GK,23,114,135,Norway,Lillestrøm SK,1,3,2,3,13,5,10,1,3,3,14,11,3,12,11,12,11,13,14,13,10,13,2,10,5,12,12,15,11,13,10,13,13,12,10,10,13,14,14,5,9,11,10,10,6,14,14,12,12,12,8,8,185,74,12,20,2890,2000/10/21,806.0,,,right,False,False,True,True,['GK_0']
Lino,GK,22,113,135,Germany,,6,2,2,2,9,7,6,2,1,3,9,2,2,9,17,11,13,11,12,9,11,16,8,6,3,13,9,10,9,14,12,15,14,11,11,14,15,12,12,8,15,12,12,12,14,12,11,13,13,12,8,17,188,85,7,20,3500,2001/1/17,0.0,,,right,False,False,True,True,['GK_0']
Yahia Fofana,GK,23,112,148,France,Angers SCO,2,2,2,1,7,3,7,3,1,3,8,3,2,8,10,12,12,8,11,8,10,13,8,8,6,12,10,8,10,14,10,14,12,10,10,14,12,8,12,7,1,12,11,12,15,12,13,12,15,11,11,11,194,89,6,20,2738,2000/8/21,3939.0,,,right,False,False,True,True,['GK_0']
Joaquín Blázquez,GK,22,112,148,"Argentina,Italy",Club Atlético Talleres de Córdoba,4,2,2,2,5,5,1,1,1,3,13,1,2,11,10,8,12,11,11,10,10,13,3,11,1,14,7,10,11,10,5,16,14,11,7,14,11,7,4,6,11,14,12,12,8,15,11,12,14,14,7,14,193,91,8,20,1991,2001/1/28,3537.0,,,right,False,False,True,True,['GK_0']
Christian Joel Sánchez,GK,24,112,142,"Cuba,France",S. Gijón,7,7,11,3,12,7,12,8,7,8,11,7,8,11,14,10,15,7,11,8,9,13,1,8,1,11,13,10,12,12,5,16,15,12,13,15,11,6,11,6,5,14,12,11,19,12,13,13,13,13,17,12,193,88,20,9,4850,1999/7/9,2824.0,,,left,False,True,False,True,['GK_1']
Tim Schreiber,GK,21,112,135,Germany,RB Leipzig,4,2,3,2,2,9,1,3,2,1,13,5,2,6,12,14,15,10,10,9,14,14,1,10,2,7,5,9,13,11,10,16,13,14,9,7,15,5,11,8,14,14,11,9,5,14,10,14,14,8,5,10,191,0,7,20,3770,2002/4/24,1799.0,,,right,False,False,True,True,['GK_0']
Lucas Bergström,GK,21,112,135,Finland,Chelsea,6,1,3,3,8,9,10,2,1,3,6,3,2,8,9,8,12,11,12,11,11,13,1,9,2,8,9,10,10,13,12,20,15,10,5,10,12,9,10,5,13,19,11,10,3,11,14,12,14,9,7,14,204,84,8,20,1750,2002/9/5,2900.0,,,right,False,False,True,True,['GK_0']
Diego Altube,GK,23,111,147,Spain,Albacete,9,3,3,2,9,11,2,1,1,3,9,3,1,6,9,15,14,11,11,8,10,12,3,10,5,9,11,10,10,12,8,12,10,9,8,10,12,7,10,6,15,12,15,13,3,11,15,15,12,12,11,13,188,84,10,20,3550,2000/2/22,2314.0,,,right,False,False,True,True,['GK_0']
Tim Rönning,GK,24,111,155,Sweden,IF Elfsborg,3,4,4,3,6,5,4,1,2,3,7,3,1,6,5,12,13,10,13,7,12,14,3,7,2,12,12,9,8,11,14,19,8,8,9,14,12,3,12,3,10,17,14,12,6,14,7,13,13,13,8,13,201,91,6,20,750,1999/2/15,1770.0,,,right,False,False,True,True,['GK_0']
Lukas Gütlbauer,GK,23,111,147,Austria,Wolfsberger Athletiksport Club,2,4,3,4,8,1,4,5,7,4,8,4,6,3,5,7,13,12,11,10,12,15,3,8,2,17,12,14,11,9,12,16,12,13,13,13,10,5,8,5,1,15,12,11,6,11,13,11,12,8,12,13,192,80,20,8,3400,2000/12/6,1500.0,,,left,False,True,False,True,['GK_1']
Viktor Johansson,GK,25,111,136,Sweden,Rotherham United,5,3,1,2,7,9,2,2,3,2,9,2,2,8,12,13,15,12,11,11,10,13,3,10,2,12,12,11,11,11,12,13,11,11,11,12,12,5,10,12,12,12,13,12,11,13,11,12,14,13,11,11,186,72,5,20,2770,1998/9/14,3480.0,,,right,False,False,True,True,['GK_0']
Leandro Brey,GK,21,111,135,Argentina,Club Atlético Boca Juniors,5,1,3,2,5,8,1,2,11,3,12,3,1,10,12,13,16,11,12,10,11,14,1,11,11,12,11,10,15,12,11,13,12,12,7,8,10,10,12,9,13,12,11,10,4,12,11,12,12,7,7,11,191,89,11,20,2310,2002/9/21,4837.0,,,right,False,False,True,True,['GK_0']
Filip Jörgensen,GK,21,111,135,"Denmark,Sweden",Villarreal,5,1,3,1,8,6,1,1,1,2,11,3,2,7,9,13,12,10,10,9,10,5,3,12,1,9,10,9,11,7,10,8,18,11,6,7,13,9,6,5,15,14,14,14,5,14,13,14,14,13,15,11,189,77,8,20,3550,2002/4/16,2001.0,,,right,False,False,True,True,['GK_0']
Federico Ravaglia,GK,24,111,136,Italy,Bologna FC 1909,1,1,1,1,10,3,5,3,2,2,10,1,1,10,8,12,6,10,10,8,12,9,5,10,2,13,10,10,12,15,13,14,12,12,15,13,11,5,7,5,4,14,10,10,3,13,14,13,13,8,11,9,196,75,7,20,3490,1999/11/11,899.0,,,right,False,False,True,True,['GK_0']
James Trafford,GK,21,110,135,England,Manchester City,4,3,1,3,11,7,2,3,3,2,12,5,2,6,13,9,13,12,15,11,11,10,1,13,3,14,6,11,12,12,12,14,6,11,8,7,11,13,20,9,13,15,10,10,8,10,12,13,13,10,7,13,197,0,8,20,2993,2002/10/10,9279.0,,,right,False,False,True,True,['GK_0']
Ruslan Neshcheret,GK,21,110,145,Ukraine,Dynamo Kyiv,2,3,1,1,7,7,8,7,1,1,9,1,1,6,10,14,13,13,11,9,14,8,2,8,2,11,12,9,7,12,10,11,14,7,6,9,10,7,10,5,14,12,12,13,9,11,14,13,13,10,15,13,190,81,6,20,2488,2002/1/22,1511.0,,,right,False,False,True,True,['GK_0']
Zach Hemming,GK,23,110,135,England,Middlesbrough,4,3,2,3,6,5,2,2,2,3,15,2,1,10,12,13,15,6,10,11,16,9,3,13,3,7,12,11,13,8,12,6,14,12,8,10,11,10,9,6,13,14,13,7,3,13,11,13,10,12,6,9,188,80,11,20,1004,2000/3/7,1160.0,,,right,False,False,True,True,['GK_0']
Marcin Bułka,GK,24,110,138,Poland,OGC Nice,3,2,1,3,7,6,3,1,3,1,7,2,2,6,11,11,10,10,10,11,12,14,1,8,2,13,12,11,12,9,16,18,10,11,6,14,14,5,15,13,11,17,11,9,8,11,15,12,11,12,8,10,199,99,10,20,2766,1999/10/4,5293.0,,,right,False,False,True,True,['GK_0']
João Virgínia,GK,24,110,138,Portugal,Everton,3,3,2,1,9,7,2,2,3,1,12,3,3,12,12,12,11,12,16,11,7,10,2,2,2,11,12,13,12,14,12,15,15,12,15,7,12,12,12,15,14,15,10,11,5,13,12,13,15,12,10,8,190,80,20,10,2740,1999/10/10,6960.0,,,left,False,True,False,True,['GK_1']
Iker Álvarez,GK,22,110,146,"Andorra,Pays Basque",Villarreal,3,2,3,3,8,8,2,1,2,3,10,4,2,5,11,11,11,11,11,9,12,9,1,10,1,15,11,10,10,12,11,15,7,12,6,6,11,10,4,13,13,15,10,11,5,15,15,15,13,8,12,10,190,0,11,20,3500,2001/7/25,1869.0,,,right,False,False,True,True,['GK_0']
Simone Ghidotti,GK,23,110,140,Italy,Como 1907,3,1,2,1,7,4,6,3,3,1,8,1,1,6,11,12,11,12,12,10,12,13,8,11,9,13,12,10,11,12,11,13,12,10,14,11,13,9,12,11,8,12,12,12,10,13,12,13,12,11,10,10,193,73,8,20,2734,2000/3/19,2770.0,,,right,False,False,True,True,['GK_0']
Matheus Donelli,GK,21,110,145,Brazil,COR,4,2,3,2,11,6,3,3,3,3,11,3,1,10,12,10,11,12,13,10,13,13,1,13,3,12,12,11,12,13,12,14,12,11,8,9,19,5,13,5,13,10,10,10,5,13,10,16,14,12,13,11,189,0,5,20,1832,2002/5/17,1606.0,,,right,False,False,True,True,['GK_0']
Luca Gemello,GK,23,110,140,Italy,Torino,5,5,5,5,10,7,8,8,8,5,12,5,5,8,10,10,11,10,11,10,11,14,8,11,11,10,10,10,12,12,11,15,12,11,12,12,12,8,13,10,1,15,13,12,9,12,12,12,12,10,10,11,190,80,8,20,2750,2000/7/3,4676.0,,,right,False,False,True,True,['GK_0']
Mahmoud Gad,GK,25,109,148,Egypt,Al-Masry Sporting Club,5,1,1,1,9,9,3,2,3,2,9,3,3,8,11,14,12,13,12,10,10,16,3,7,2,14,11,9,11,14,10,14,12,12,4,9,16,11,12,6,11,13,13,13,14,13,10,12,15,12,9,11,191,0,3,20,3500,1998/10/11,2944.0,,,right,False,False,True,True,['GK_0']
Oliver Dovin,GK,21,109,135,"Sweden,England,Nigeria",Hammarby IF,4,5,5,2,8,8,1,3,2,3,9,3,3,7,9,12,14,10,12,9,12,14,2,6,1,11,11,10,11,13,12,14,12,11,10,12,12,6,6,8,12,12,10,11,7,12,12,13,13,11,5,11,188,86,6,20,1250,2002/7/11,1490.0,,,right,False,False,True,True,['GK_0']
Kacper Tobiasz,GK,21,109,145,Poland,Legia Warszawa,5,2,1,3,12,9,8,3,2,3,13,10,2,12,7,11,16,10,11,5,9,17,5,14,8,9,13,18,8,13,12,14,16,8,10,10,16,6,15,2,12,13,12,10,7,10,15,14,13,13,11,12,191,80,20,9,2027,2002/11/4,422.0,,,left,False,True,False,True,['GK_1']
Samuel Soares,GK,21,108,135,"Portugal,Guinea-Bissau",SL Benfica,4,3,3,2,10,8,6,2,1,2,11,1,1,11,11,13,12,10,8,10,9,15,11,6,8,11,12,12,12,12,12,13,16,12,12,13,11,5,7,5,12,11,12,12,15,12,16,13,15,15,10,12,190,90,6,20,3910,2002/6/15,2749.0,,,right,False,False,True,True,['GK_0']
Carlos Olses,GK,23,108,137,"Venezuela,Argentina",Deportivo La Guaira,4,1,1,2,8,6,10,3,3,2,11,2,2,11,10,12,11,12,11,10,10,7,1,12,2,11,11,10,11,13,8,14,8,12,11,12,14,12,10,16,12,14,12,13,8,11,10,12,13,6,8,8,192,79,10,20,2315,2000/9/5,724.0,,,right,False,False,True,True,['GK_0']
Gabriel Słonina,GK,19,108,155,"United States,Poland",Chelsea,5,3,2,3,9,7,1,2,3,3,8,3,1,9,7,9,13,13,13,10,9,18,1,4,3,13,14,10,12,12,12,17,14,11,13,13,14,5,19,8,13,13,12,13,6,10,10,12,14,7,8,11,194,89,10,20,3500,2004/5/15,23198.0,https://img.a.transfermarkt.technology/portrait/header/656316-1645958054.jpg?lm=1,https://www.youtube.com/watch?v=Mthc_5t6B2w,right,False,False,True,True,['GK_0']
Matěj Kovář,GK,23,108,135,Czech Republic,Manchester UFC,4,1,1,3,12,7,1,1,1,3,10,3,3,12,8,12,8,11,9,7,9,16,4,6,1,11,9,6,13,14,12,15,15,12,10,10,8,6,18,3,14,15,11,8,8,12,13,12,13,12,12,7,193,80,14,20,3509,2000/5/17,11599.0,,,right,False,False,True,True,['GK_0']
Svetoslav Vutsov,GK,21,108,137,Bulgaria,Slavia Sofia,3,3,9,2,10,5,8,1,3,2,11,3,3,9,11,12,14,10,11,10,10,14,5,11,7,11,13,11,12,13,11,15,16,11,11,13,13,6,13,7,11,14,10,8,7,11,14,12,13,16,13,11,192,82,6,20,4450,2002/7/9,600.0,,,right,False,False,True,True,['GK_0']
Carl Rushworth,GK,22,108,148,England,Brighton & Hove Albion,5,1,3,2,5,7,3,3,1,2,12,1,2,4,8,12,12,9,9,8,11,13,2,11,1,12,11,10,8,12,11,14,8,9,15,10,14,8,7,11,12,13,11,11,9,13,12,14,14,11,10,11,188,0,20,8,2992,2001/7/2,3480.0,,,left,False,True,False,True,['GK_1']
Tymur Puzankov,GK,20,108,135,Ukraine,Shakhtar Donetsk,2,3,2,1,10,4,11,5,4,4,12,9,5,11,6,9,10,8,10,11,12,11,3,6,11,9,12,13,9,11,10,18,9,12,11,10,8,4,9,7,1,16,11,10,3,12,10,13,15,8,10,11,195,0,4,20,2016,2003/3/4,1160.0,,,right,False,False,True,True,['GK_0']
Anthony Patterson,GK,23,108,135,England,Sunderland,1,1,3,2,10,6,1,3,1,2,9,3,2,11,11,12,16,10,12,9,10,13,3,6,2,12,5,9,13,14,8,13,17,14,6,7,13,5,11,8,13,13,10,8,5,12,11,11,13,5,12,10,185,68,14,20,2260,2000/5/10,4640.0,,,right,False,False,True,True,['GK_0']
Jakub Stolarczyk,GK,23,108,145,Poland,Leicester City,5,1,1,2,5,6,1,1,1,3,9,3,2,8,14,13,15,9,8,8,14,8,1,10,2,12,9,8,12,10,9,13,14,10,6,7,20,7,5,6,15,12,13,12,5,11,11,13,13,12,8,14,194,82,12,20,2990,2000/12/19,11599.0,,,right,False,False,True,True,['GK_0']
Hákon Rafn Valdimarsson,GK,22,108,144,Iceland,IF Elfsborg,6,7,1,3,7,7,3,3,1,3,8,1,1,7,8,11,14,11,12,7,11,14,3,6,1,11,11,10,10,12,12,15,12,10,10,12,13,6,12,5,10,12,14,9,5,13,12,13,13,8,7,11,188,0,8,20,1350,2001/10/13,1165.0,,,right,False,False,True,True,['GK_0']
Sem Westerveld,GK,21,107,135,"Holland,Pays Basque,Spain",AZ Alkmaar,6,1,1,2,9,9,1,1,3,2,11,3,3,7,10,11,12,9,15,9,9,10,2,13,1,15,10,9,9,12,10,15,12,11,9,7,12,12,8,13,14,15,10,10,5,13,9,12,12,11,13,13,190,0,8,20,2768,2002/7/18,1373.0,,,right,False,False,True,True,['GK_0']
Daniil Khudyakov,GK,19,107,145,Russia,Lokomotiv Moscow,3,2,1,2,9,5,11,1,1,3,11,3,1,10,14,12,13,13,9,10,11,3,1,8,2,9,12,12,12,10,14,16,13,12,7,16,14,5,19,9,13,14,10,10,9,9,10,13,12,11,9,12,193,88,12,20,2889,2004/1/9,19303.0,,,right,False,False,True,True,['GK_0']
Vincent Müller,GK,23,107,137,Germany,MSV Duisburg,4,2,1,3,2,8,1,2,2,2,12,2,3,7,5,13,15,4,12,6,14,13,1,8,2,12,9,7,12,14,9,14,15,13,2,6,11,11,18,13,11,14,12,7,7,14,13,12,14,8,10,9,190,0,4,20,3541,2000/8/23,2500.0,,,right,False,False,True,True,['GK_0']
Luca Philipp,GK,23,107,137,Germany,TSG Hoffenheim,5,3,1,3,6,7,1,2,2,1,12,5,3,6,11,9,14,9,11,8,14,5,3,12,1,9,9,8,12,13,9,14,17,12,6,7,13,5,11,5,12,14,10,10,5,8,13,13,14,8,5,11,192,83,11,20,2772,2000/11/28,3122.0,,,right,False,False,True,True,['GK_0']
Karl Jakob Hein,GK,21,107,135,Estonia,Arsenal,5,1,2,3,9,8,1,2,2,2,8,3,3,7,10,11,13,9,11,8,10,13,6,7,3,13,12,10,12,13,9,14,16,10,10,11,11,6,17,12,14,14,9,9,4,12,14,13,14,9,11,11,194,0,8,20,2750,2002/4/13,2900.0,,,right,False,False,True,True,['GK_0']
Robert Popa,GK,20,107,135,Romania,U Craiova 1948 SA,3,3,3,3,8,8,2,2,3,1,16,5,3,8,5,9,14,12,11,11,10,13,13,14,1,11,11,13,11,11,8,15,15,9,12,14,12,3,13,2,9,12,10,11,8,11,13,14,13,11,12,11,190,83,8,20,5250,2003/3/5,2655.0,,,right,False,False,True,True,['GK_0']
Jerónimo Pourtau,GK,23,107,135,Argentina,Club Estudiantes de La Plata,2,2,3,3,4,4,1,3,1,2,14,2,1,8,8,13,14,8,14,8,13,6,3,13,2,10,9,8,11,13,11,15,12,11,12,12,11,9,15,11,14,11,10,12,7,13,12,12,11,8,7,9,191,75,6,20,2100,2000/1/23,1562.0,,,right,False,False,True,True,['GK_0']
Berke Özer,GK,23,107,135,Turkey,Portimonense Sporting Clube,2,3,2,3,8,5,1,2,3,2,11,5,3,8,5,10,11,12,14,7,11,12,3,7,7,12,8,12,8,13,13,13,9,9,7,8,10,3,10,6,10,14,11,10,5,13,9,14,14,10,12,13,191,79,12,20,3500,2000/5/25,1500.0,,,right,False,False,True,True,['GK_0']
Filip Stanković,GK,21,107,135,"Serbia,Italy",FC Internazionale Milano,4,3,2,3,11,9,4,2,2,3,11,2,3,11,8,11,10,12,13,10,12,14,11,9,1,14,12,14,12,12,10,12,5,11,12,6,12,11,16,15,14,14,11,11,6,12,9,12,12,12,11,11,187,72,6,20,3005,2002/2/25,4590.0,,,right,False,False,True,True,['GK_0']
Stefan Bajić,GK,22,106,135,"France,Serbia",Bristol City,3,2,1,3,10,7,2,3,2,2,9,4,3,10,8,11,14,12,13,10,10,11,3,10,3,10,11,12,12,14,14,12,14,12,10,12,11,8,12,6,10,9,10,9,10,11,9,12,13,13,5,10,187,79,8,20,2520,2001/12/23,5800.0,,,right,False,False,True,True,['GK_0']
Alessandro Plizzari,GK,23,106,147,Italy,Delfino Pescara,2,2,3,1,7,1,7,1,6,2,7,1,1,7,10,13,10,13,8,7,9,15,3,9,5,12,10,11,11,15,7,15,12,13,13,12,10,8,10,10,1,13,12,13,7,12,11,15,15,13,11,8,191,73,5,20,3650,2000/3/12,10087.0,,,right,False,False,True,True,['GK_0']
Landing Badji,GK,20,105,135,Senegal,Association Sportive de Pikine,2,3,3,1,3,7,1,1,2,1,9,1,1,5,11,14,11,9,11,8,13,5,2,4,1,12,9,8,13,12,9,10,10,13,4,6,16,12,8,12,14,8,9,10,5,14,13,9,14,14,14,14,185,0,10,20,2000,2003/9/21,116.0,,,right,False,False,True,True,['GK_0']
Noah Atubolu,GK,21,105,135,"Germany,Nigeria",Sport-Club Freiburg,3,1,1,2,10,7,5,3,9,2,10,1,2,8,9,11,9,8,11,4,12,11,5,9,4,11,11,14,8,12,10,14,11,11,8,13,11,4,12,4,13,14,10,11,6,12,13,14,14,10,10,12,190,96,5,20,3257,2002/5/25,1000.0,,,right,False,False,True,True,['GK_0']
Jonas Urbig,GK,20,105,135,Germany,1. FC Köln,3,2,1,3,1,7,1,2,2,1,11,4,1,5,13,12,15,9,11,6,14,13,3,3,1,12,9,7,14,11,4,8,9,14,2,7,13,10,17,11,15,12,10,11,5,14,10,14,13,11,5,10,189,78,12,20,1763,2003/8/8,907.0,,,right,False,False,True,True,['GK_0']
Toni Fuidias,GK,22,105,141,Spain,Girona,6,2,2,2,6,9,13,9,3,3,10,1,3,4,11,9,12,14,12,8,11,15,5,14,7,10,11,9,10,12,10,17,14,10,5,14,20,5,4,14,12,16,9,14,2,14,14,12,9,8,12,12,195,87,10,20,2000,2001/4/15,1555.0,,,right,False,False,True,True,['GK_0']
Lucas Cañizares,GK,21,105,155,Spain,R. Madrid,4,1,2,2,3,5,1,2,1,1,7,3,2,2,6,7,15,8,11,7,13,14,1,9,3,13,8,7,13,12,8,15,14,9,7,13,14,9,12,13,13,13,13,12,5,13,7,13,13,10,5,11,188,82,11,20,3250,2002/5/10,1944.0,https://img.a.transfermarkt.technology/portrait/header/568154-1603003972.jpg?lm=1,https://www.youtube.com/watch?v=jRcG9E3rwoY,right,False,False,True,True,['GK_0']
Kristoffer Klaesson,GK,23,105,139,Norway,Leeds United,1,3,1,3,7,4,3,1,3,1,10,2,1,6,11,9,15,8,9,8,8,17,9,12,5,12,12,7,11,13,9,15,11,9,9,12,12,4,10,5,7,15,11,12,11,12,13,11,15,12,14,7,189,76,20,8,4231,2000/11/27,17399.0,,,left,False,True,False,True,['GK_1']
Breno,GK,22,105,135,Brazil,SAN,5,3,1,1,11,8,2,1,1,3,12,1,3,11,11,12,12,11,12,10,11,15,1,8,3,12,12,10,10,12,10,13,13,10,10,12,10,7,13,7,13,10,11,11,5,13,11,11,12,12,9,10,184,79,7,20,1874,2001/1/22,1234.0,,,right,False,False,True,True,['GK_0']
Tein Troost,GK,21,105,135,Holland,Feyenoord Rotterdam,2,3,1,1,4,7,1,2,2,3,11,3,2,1,5,12,12,13,12,9,12,12,3,11,1,15,10,9,13,11,9,15,13,13,5,8,18,12,16,9,15,13,13,11,5,12,15,11,11,12,11,8,188,0,20,5,3250,2002/1/15,995.0,,,left,False,True,False,True,['GK_1']
Nikola Ivezić,GK,20,105,135,Montenegro,Lommel SK,2,1,3,3,9,6,1,3,3,3,14,1,1,7,7,9,11,11,10,10,11,6,3,13,3,12,11,9,11,11,11,13,12,13,4,10,9,7,7,7,11,12,12,13,12,12,13,13,11,7,8,11,192,82,5,20,2250,2003/4/1,2000.0,,,right,False,False,True,True,['GK_0']
Abdulsamed Damlu,GK,24,105,135,Turkey,Yeni Malatyaspor,2,3,2,3,6,5,1,3,2,1,10,2,1,8,11,12,11,12,13,10,8,14,1,13,3,13,11,8,12,13,11,13,13,12,3,10,15,5,13,5,11,12,12,12,13,10,10,14,11,12,13,13,191,78,20,5,5250,1999/7/25,2488.0,,,left,False,True,False,True,['GK_1']
Doğan Alemdar,GK,21,105,135,Turkey,Stade Rennais FC,1,3,2,3,8,1,1,1,2,2,9,5,3,9,8,9,13,12,13,6,9,5,7,8,8,10,14,15,10,11,13,12,12,11,14,14,12,6,12,5,1,13,12,12,7,12,12,13,13,11,12,12,185,0,5,20,2000,2002/10/29,2465.0,,,right,False,False,True,True,['GK_0']
Emre Bilgin,GK,19,105,135,Turkey,Beşiktaş A.Ş.,4,3,3,1,6,6,2,1,3,2,8,1,2,9,6,12,13,12,13,4,12,14,1,8,2,12,12,12,7,13,12,14,14,7,11,10,13,11,12,5,11,12,11,13,10,12,13,14,13,10,9,8,188,76,20,7,3500,2004/2/26,82.0,,,left,False,True,False,True,['GK_1']
Stanislav Agkatsev,GK,21,104,135,Russia,FC Krasnodar,4,2,3,3,5,9,2,2,2,1,10,6,1,6,7,12,14,13,12,10,15,5,2,8,1,11,10,11,8,10,11,14,9,9,9,11,15,9,17,10,14,12,9,8,10,9,9,11,11,10,10,9,189,82,10,20,2500,2002/1/9,10337.0,,,right,False,False,True,True,['GK_0']
Vitaly Botnar',GK,22,104,135,"Russia,Moldova",Torpedo Moscow,2,3,2,2,8,5,1,3,3,1,8,4,3,6,5,11,13,13,13,10,13,15,1,7,2,13,11,10,7,13,13,15,12,5,12,14,15,12,11,6,12,13,10,12,14,8,11,13,13,8,13,13,189,85,20,5,2770,2001/5/19,2945.0,,,left,False,True,False,True,['GK_1']
David Ochoa,GK,22,104,138,"Mexico,United States",D.C. United,6,2,1,1,9,7,3,3,2,1,9,1,1,10,11,13,12,11,11,10,12,10,2,4,2,12,11,13,10,12,9,12,12,9,8,12,14,12,14,13,12,12,10,9,11,13,12,10,14,7,9,12,188,79,7,20,3500,2001/1/16,2005.0,,,right,False,False,True,True,['GK_0']
Michele Cerofolini,GK,24,104,140,Italy,ACF Fiorentina,4,3,2,3,9,6,3,7,3,2,10,3,3,4,12,11,11,11,11,10,11,1,2,13,1,10,12,10,10,10,12,16,12,11,13,11,12,5,2,10,12,12,11,11,8,14,11,12,13,10,10,11,188,80,7,20,3000,1999/1/4,2885.0,,,right,False,False,True,True,['GK_0']
Alessandro Russo,GK,22,103,145,Italy,U.S. Sassuolo,1,1,2,3,4,2,4,1,3,3,6,3,2,5,10,11,10,11,12,7,11,13,4,10,4,12,10,9,11,12,13,17,12,13,14,14,10,6,8,7,8,15,9,12,8,11,12,12,13,12,13,10,193,82,5,20,3200,2001/3/31,2115.0,,,right,False,False,True,True,['GK_0']
Luca Plogmann,GK,23,103,135,Germany,Go Ahead Eagles,5,2,3,2,11,6,8,2,1,1,12,1,1,12,10,11,12,16,10,8,12,16,3,11,3,8,15,12,11,12,10,13,13,10,9,10,12,6,15,6,10,11,11,14,15,9,11,13,13,15,11,12,188,78,20,7,3250,2000/3/10,994.0,,,left,False,True,False,True,['GK_1']
Josh Griffiths,GK,22,103,140,England,West Bromwich Albion,4,1,3,3,8,8,1,2,2,1,13,1,2,13,5,10,12,10,10,9,10,11,7,8,9,12,11,10,12,10,11,15,17,11,9,10,12,4,11,4,12,14,12,11,8,12,14,12,12,12,5,8,195,0,7,20,3220,2001/9/5,1856.0,,,right,False,False,True,True,['GK_0']
